company_name,event_type,Title,Link,Published,Summary
Birch Lane,Closing,Expect I-70 closures for pavement repairs - fox59.com,https://fox59.com/indiana-news/expect-i-70-closures-for-pavement-repairs/,"Mon, 17 Aug 2026 16:13:04 GMT",Expect I-70 closures for pavement repairs fox59.com
Joss & Main,Closing,More DC street closures take effect ahead of Freedom 250 IndyCar Grand Prix - DC News Now,https://www.dcnewsnow.com/news/local-news/washington-dc/more-d-c-street-closures-take-effect-ahead-of-freedom-250-indycar-grand-prix/,"Tue, 18 Aug 2026 21:55:10 GMT",More DC street closures take effect ahead of Freedom 250 IndyCar Grand Prix DC News Now
Joss & Main,Closing,Expect I-70 closures for pavement repairs - fox59.com,https://fox59.com/indiana-news/expect-i-70-closures-for-pavement-repairs/,"Mon, 17 Aug 2026 16:13:04 GMT",Expect I-70 closures for pavement repairs fox59.com
Metro by T-Mobile,Closing,T-Mobile Expands Network Recovery and Customer Support Across Hawaiʻi Following Hurricane Lala - reflector.com,https://www.reflector.com/news/national/t-mobile-expands-network-recovery-and-customer-support-across-hawai-i-following-hurricane-lala/article_2d320b5b-0cbc-5316-96a8-56c9591cdfb6.html,"Mon, 17 Aug 2026 04:22:05 GMT",T-Mobile Expands Network Recovery and Customer Support Across Hawaiʻi Following Hurricane Lala reflector.com
HCA Healthcare,Closing,HCA Healthcare stock holds above $400 as Q2 2026 growth supports outlook - AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/corporate-news/hca-healthcare-stock-holds-above-400-as-q2-2026-growth-supports-outlook/69964392,"Tue, 18 Aug 2026 12:14:19 GMT",HCA Healthcare stock holds above $400 as Q2 2026 growth supports outlook AD HOC NEWS
Murphy Oil,Closing,GHWCC Rings the NYSE Closing Bell: Houston Women Take Wall Street — and Texas Is Next - Houston Style Magazine,https://stylemagazine.com/news/2026/aug/17/ghwcc-rings-the-nyse-closing-bell-houston-women-take-wall-street-and-texas-is-next/,"Tue, 18 Aug 2026 02:24:22 GMT",GHWCC Rings the NYSE Closing Bell: Houston Women Take Wall Street — and Texas Is Next Houston Style Magazine
Gap,Opening,"Salem, Mo., workshop close to opening new location after fire, still faces funding gap - KY3",https://www.ky3.com/2026/08/18/salem-mo-workshop-close-opening-new-location-after-fire-still-faces-funding-gap/,"Tue, 18 Aug 2026 22:25:00 GMT","Salem, Mo., workshop close to opening new location after fire, still faces funding gap KY3"
Gap,Closing,Closing the Organ Donor Gap in Communities of Color - Future of Personal Health -,https://www.futureofpersonalhealth.com/transplants/closing-the-organ-donor-gap-in-communities-of-color/,"Tue, 18 Aug 2026 15:40:38 GMT",Closing the Organ Donor Gap in Communities of Color Future of Personal Health -
Gap,Closing,Closing the Opportunity Gap: Why Access to Education Still Matters - UNCF,https://uncf.org/the-latest/closing-the-opportunity-gap-why-access-to-education-still-matters,"Tue, 18 Aug 2026 14:51:02 GMT",Closing the Opportunity Gap: Why Access to Education Still Matters UNCF
Gap,Closing,Closing the Gap: Innovation vs Access in Blood Cancer Care - The American Journal of Managed Care® (AJMC®),https://www.ajmc.com/view/closing-the-gap-innovation-vs-access-in-blood-cancer-care,"Tue, 18 Aug 2026 14:06:07 GMT",Closing the Gap: Innovation vs Access in Blood Cancer Care The American Journal of Managed Care® (AJMC®)
Gap,Closing,"Closing the AI control gap - architecting security across users, applications, and agents - teiss",https://www.teiss.co.uk/teisstalk/closing-the-ai-control-gap-architecting-security-across-users-applications-and-agents,"Tue, 18 Aug 2026 12:39:56 GMT","Closing the AI control gap - architecting security across users, applications, and agents teiss"
Gap,Closing,Closing golf’s education gap - pga.info,https://www.pga.info/discover/latest/news/closing-golfs-education-gap/,"Tue, 18 Aug 2026 12:08:11 GMT",Closing golf’s education gap pga.info
Gap,Closing,From researcher to CEO: closing the gap between discovery and delivery - Nature,https://www.nature.com/articles/s41575-026-01249-x,"Tue, 18 Aug 2026 11:58:32 GMT",From researcher to CEO: closing the gap between discovery and delivery Nature
Gap,Closing,Dubuque schools weigh closures to meet $16.8M budget gap - kcrg.com,https://www.kcrg.com/video/2026/08/17/dubuque-schools-weigh-closures-meet-168m-budget-gap/,"Mon, 17 Aug 2026 23:42:36 GMT",Dubuque schools weigh closures to meet $16.8M budget gap kcrg.com
Gap,Closing,Closing the Gap in Women’s Health Research - Hologic,https://www.hologic.com/about/newsroom/building-future-where-womens-health-fully-seen-studied-and-supported,"Mon, 17 Aug 2026 19:53:07 GMT",Closing the Gap in Women’s Health Research Hologic
Gap,Closing,Dubuque schools weigh closures to meet $16.8M budget gap - kcrg.com,https://www.kcrg.com/2026/08/17/dubuque-community-school-district-shares-facility-plan-update/,"Mon, 17 Aug 2026 19:29:00 GMT",Dubuque schools weigh closures to meet $16.8M budget gap kcrg.com
Gap,Closing,Burger King is closing the gap in the burger wars with a simple formula: Better food and a star executive who takes customers’ calls himself - Yahoo Finance UK,https://uk.finance.yahoo.com/news/burger-king-closing-gap-burger-185725981.html,"Mon, 17 Aug 2026 18:57:25 GMT",Burger King is closing the gap in the burger wars with a simple formula: Better food and a star executive who takes customers’ calls himself Yahoo Finance UK
Gap,Closing,Closing the Seat Gap - F&I and Showroom,https://www.fi-magazine.com/news/closing-the-seat-gap,"Mon, 17 Aug 2026 14:51:49 GMT",Closing the Seat Gap F&I and Showroom
Gap,Closing,"JobNimbus and Angi Connect Lead Flow to Project Management, Closing the Gap Between Customer Request and Crew Deployment - EIN News",https://www.einnews.com/pr_news/934297243/jobnimbus-and-angi-connect-lead-flow-to-project-management-closing-the-gap-between-customer-request-and-crew-deployment,"Mon, 17 Aug 2026 14:00:00 GMT","JobNimbus and Angi Connect Lead Flow to Project Management, Closing the Gap Between Customer Request and Crew Deployment EIN News"
Gap,Closing,"TradeQuo: Closing the Response Gap in Gold, Oil Trading with GOLD247 & OIL247 - Daily Forex",https://www.dailyforex.com/press-release/2026/08/tradequo-weekend-gold-oil-trading-17-august-2026/248762,"Mon, 17 Aug 2026 12:28:21 GMT","TradeQuo: Closing the Response Gap in Gold, Oil Trading with GOLD247 & OIL247 Daily Forex"
Gap,Closing,Opinion | Closing the trust gap - WyoFile,https://wyofile.com/closing-the-trust-gap/,"Mon, 17 Aug 2026 10:20:00 GMT",Opinion | Closing the trust gap WyoFile
Gap,Closing,ParaZero: Closing the Final C-UAS Defense Gap - Unmanned Systems Technology,https://www.unmannedsystemstechnology.com/feature/parazero-closing-the-final-c-uas-defense-gap/,"Mon, 17 Aug 2026 07:04:09 GMT",ParaZero: Closing the Final C-UAS Defense Gap Unmanned Systems Technology
Gap,Closing,Before the first resident arrives: closing the gap between PBSA development and operations - PBSA News,https://pbsanews.co.uk/article/before-the-first-resident-arrives-closing-the-gap-between-pbsa-development-and-operations,"Mon, 17 Aug 2026 04:05:20 GMT",Before the first resident arrives: closing the gap between PBSA development and operations PBSA News
Quiznos,Closing,"What The Hell Happened To Quiznos Subs? Chicago's Only Remaining Location Just Shut Its Doors Forever, And It's A Damn Shame - Barstool Sports",https://www.barstoolsports.com/blog/3575599/what-the-hell-happened-to-quiznos-subs-chicagos-only-remaining-location-just-shut-its-doors-forever-and-its-a-damn-shame,"Tue, 18 Aug 2026 23:02:21 GMT","What The Hell Happened To Quiznos Subs? Chicago's Only Remaining Location Just Shut Its Doors Forever, And It's A Damn Shame Barstool Sports"
Shoe Carnival,Closing,Popular shoe retailer closing dozens of stores after a costly mistake - thestreet.com,https://www.thestreet.com/retail/shoe-carnival-closing-dozens-of-stores-after-a-costly-mistake,"Tue, 18 Aug 2026 16:47:18 GMT",Popular shoe retailer closing dozens of stores after a costly mistake thestreet.com
Stuart Weitzman,Closing,Fashion retailer closes 64 stores as it reshapes its business - thestreet.com,https://www.thestreet.com/retail/tapestry-closes-64-stores-coach-kate-spade,"Mon, 17 Aug 2026 21:03:00 GMT",Fashion retailer closes 64 stores as it reshapes its business thestreet.com
Trimble,Closing,Trimble stock holds at $55.70 as fiscal 2026 guidance edges higher - AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/corporate-news/trimble-stock-holds-at-55-70-as-fiscal-2026-guidance-edges-higher/69961912,"Tue, 18 Aug 2026 04:13:32 GMT",Trimble stock holds at $55.70 as fiscal 2026 guidance edges higher AD HOC NEWS
Vanderbilt's,Opening,"C. Cybele Raver named president-designate of the University of Michigan, to transition from Vanderbilt - Vanderbilt University",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOaDdtY0M0TDZfVHVzbW9hcHJrUnBRaVV2aXNqTzVlbnN4X2VKRjl2ZnZiSDdXYjEyNmJZOWh3Nl9sZ1dEck9vRUFwTERGTnZpMXhGZXI3ZGQ5bGNra3hBdlNScUlSLWxUdDZCWGFaNEUzVkJJMzg2SVlfRC1BZHNxNTZHVncwVVJtdnRzbWNxa0FSWVhaQ3V1QW81NDlrRm1qUThWOXg3QUFfMVFZRHh3bERXS0hXUEFkSklpampuckFSS0czT3VjMXZaUlA0VmdnVjg3UHN6cw?oc=5,"Tue, 18 Aug 2026 14:00:00 GMT","C. Cybele Raver named president-designate of the University of Michigan, to transition from Vanderbilt Vanderbilt University"
World Market,Closing,Spring-Loaded Safety Closures Market to Reach Index 170 by 2035 on Child-Resistant Packaging Mandates - IndexBox,https://www.indexbox.io/blog/spring-loaded-safety-closures-market-to-reach-index-170-by-2035-on-child-resistant-packaging-mandates/,"Mon, 17 Aug 2026 04:06:22 GMT",Spring-Loaded Safety Closures Market to Reach Index 170 by 2035 on Child-Resistant Packaging Mandates IndexBox
The UPS Store,Opening,New location of The UPS Store coming soon to the Lehigh Valley - WFMZ.com,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQSWV3YzROQ2xkbWFqMTdjQWlydWhUMjF0aEFubzFPTU9wTHg4REU3emc5aFJSRXVNYW5iY19WVUlXVjliN3BBV2J5eFhfXzBNRmpKWGQ3QkpLRlRZSUFmcmV2TFNKUEMxVXVMZFMwdUs3NDc3a3RaRWVmVVpzWXBXQU53MEtIOXhFOHVZM2M4N3hEODBDYnVtcjR1NDhLVndNT2J3VXlYREIzcDJtQzFVRXZIakdoS2V6YTRxR2hqUG1veDRackIwajQ2M1l0ZUlCUXhWNm1rSDVaZ1FObzRrRm0tYmxOMnZSQjFN?oc=5,"Tue, 18 Aug 2026 00:59:00 GMT",New location of The UPS Store coming soon to the Lehigh Valley WFMZ.com
