company_name,event_type,Title,Link,Published,Summary
HCA Healthcare,Closing,Fierce Healthcare Layoff Tracker—Dartmouth Health cuts 124; University of Vermont Health restructures 199 - fiercehealthcare.com,https://www.fiercehealthcare.com/finance/fierce-healthcare-layoff-tracker-2026-job-cuts-eliminations-health-systems-hospitals,"Wed, 16 Sep 2026 15:39:43 GMT",Fierce Healthcare Layoff Tracker—Dartmouth Health cuts 124; University of Vermont Health restructures 199 fiercehealthcare.com
HCA Healthcare,Closing,HCA Healthcare stock heads into the open after a 0.4% dip - ad-hoc-news.de,https://www.ad-hoc-news.de/boerse/news/corporate-news/hca-healthcare-stock-heads-into-the-open-after-a-0-4-percent-dip/70108745,"Wed, 16 Sep 2026 05:18:02 GMT",HCA Healthcare stock heads into the open after a 0.4% dip ad-hoc-news.de
Jersey Mike's,Closing,EFL Trophy Set to Become 'Jersey Mike's Trophy' - Footy Headlines,https://www.footyheadlines.com/4833024089/efl-trophy-set-to-become-jersey-mike-s-trophy.html,"Tue, 15 Sep 2026 20:47:00 GMT",EFL Trophy Set to Become 'Jersey Mike's Trophy' Footy Headlines
Jersey Mike's,Closing,English football competition to be renamed AGAIN midway through season as £5million sponsorship deal struck - The Sun,https://www.thesun.co.uk/sport/40389611/english-football-competition-renamed-sponsorship-deal-efl-trophy/,"Tue, 15 Sep 2026 15:47:00 GMT",English football competition to be renamed AGAIN midway through season as £5million sponsorship deal struck The Sun
Jersey Mike's,Closing,One Jersey Mike's Wasn't Enough for Amarillo - Amarillo Country Radio,https://thebullamarillo.com/jersey-mikes-second-location-amarillo/,"Tue, 15 Sep 2026 12:26:44 GMT",One Jersey Mike's Wasn't Enough for Amarillo Amarillo Country Radio
Jersey Mike's Subs,Opening,One Jersey Mike's Wasn't Enough for Amarillo - Amarillo Country Radio,https://thebullamarillo.com/jersey-mikes-second-location-amarillo/,"Tue, 15 Sep 2026 12:26:44 GMT",One Jersey Mike's Wasn't Enough for Amarillo Amarillo Country Radio
Jersey Mike's Subs,Closing,Some Wichita restaurants are closed amid water advisory. Some aren’t. A list: - kansas.com,https://www.kansas.com/entertainment/restaurants/dining-with-denise-neil/article317265612.html,"Wed, 16 Sep 2026 14:48:00 GMT",Some Wichita restaurants are closed amid water advisory. Some aren’t. A list: kansas.com
Jersey Mike's Subs,Closing,EFL Trophy Set to Become 'Jersey Mike's Trophy' - Footy Headlines,https://www.footyheadlines.com/4833024089/efl-trophy-set-to-become-jersey-mike-s-trophy.html,"Tue, 15 Sep 2026 20:47:00 GMT",EFL Trophy Set to Become 'Jersey Mike's Trophy' Footy Headlines
Jersey Mike's Subs,Closing,English football competition to be renamed AGAIN midway through season as £5million sponsorship deal struck - The Sun,https://www.thesun.co.uk/sport/40389611/english-football-competition-renamed-sponsorship-deal-efl-trophy/,"Tue, 15 Sep 2026 15:47:00 GMT",English football competition to be renamed AGAIN midway through season as £5million sponsorship deal struck The Sun
LabCorp,Closing,Labcorp stock gains after Q2 2026 earnings and investor day guidance - ad-hoc-news.de,https://www.ad-hoc-news.de/boerse/news/corporate-news/labcorp-stock-gains-after-q2-2026-earnings-and-investor-day-guidance/70112574,"Wed, 16 Sep 2026 17:02:16 GMT",Labcorp stock gains after Q2 2026 earnings and investor day guidance ad-hoc-news.de
Murphy Oil,Closing,Is Murphy Oil (MUR) Undervalued As Its Energy Conference Appearance Nears? - simplywall.st,https://simplywall.st/stocks/us/energy/nyse-mur/murphy-oil/news/is-murphy-oil-mur-undervalued-as-its-energy-conference-appea,"Tue, 15 Sep 2026 08:34:31 GMT",Is Murphy Oil (MUR) Undervalued As Its Energy Conference Appearance Nears? simplywall.st
Nex-Tech Wireless,Closing,"Telecom news: Enablence, Starlink, Eutelsat, OneWeb, Jio Satellite, NTT DoCoMo, Nokia - TelecomLead",https://telecomlead.com/news/telecom-news-enablence-starlink-eutelsat-oneweb-jio-satellite-ntt-docomo-nokia-127751,"Wed, 16 Sep 2026 04:42:01 GMT","Telecom news: Enablence, Starlink, Eutelsat, OneWeb, Jio Satellite, NTT DoCoMo, Nokia TelecomLead"
Shoe palace,Opening,Fondren Market Place to add Shoe Palace to tenant lineup - Community Impact,https://communityimpact.com/bellaire-meyerland-west-university/business/fondren-market-place-to-add-shoe-palace-to-tenant-lineup/,"Tue, 15 Sep 2026 21:22:00 GMT",Fondren Market Place to add Shoe Palace to tenant lineup Community Impact
The Dump,Closing,Marshalls-style discount furniture chain closing most stores - thestreet.com,https://www.thestreet.com/retail/marshalls-style-discount-furniture-chain-the-dump-closing-most-stores,"Tue, 15 Sep 2026 12:58:14 GMT",Marshalls-style discount furniture chain closing most stores thestreet.com
Vanderbilt's,Opening,"Welcome To The Jared Curtis Era, Where The Impossible Seems Possible For Vanderbilt Football - Sports Illustrated",https://www.si.com/college/vanderbilt/football/welcome-to-the-jared-curtis-era-where-the-impossible-seems-possible-for-vanderbilt-football,"Tue, 15 Sep 2026 19:35:45 GMT","Welcome To The Jared Curtis Era, Where The Impossible Seems Possible For Vanderbilt Football Sports Illustrated"
